id,name,projectId,order,color,type,roleType,description,createdAt,updatedAt
1,TODO,1,1,#00a6ff,start,STANDARD,This is the first step in the process,2025-06-18T13:07:13.122Z,2025-06-21T17:33:02.010Z
2,IN PROGRESS,1,2,#3844c2,,STANDARD,This is the second step in the process,2025-06-18T13:07:13.122Z,2025-06-21T17:33:02.010Z
3,QA TEST,1,3,#d1d16d,,STANDARD,This is the third step in the process,2025-06-18T13:07:13.122Z,2025-06-21T17:33:02.011Z
4,READY FOR PROD,1,4,#995757,,STANDARD,This is the fourth step in the process,2025-06-18T13:07:13.122Z,2025-06-21T17:33:02.011Z
5,DONE,1,5,#7393B3,end,STANDARD,This is the last step in the process,2025-06-18T13:07:13.124Z,2025-06-18T13:07:13.124Z
7,Column Name,2,1,#ad629d,start,STANDARD,,2025-06-18T13:13:29.243Z,2025-06-20T18:47:50.582Z
8,Tab order testing ,2,2,#00ccff,end,STANDARD,,2025-06-18T13:13:29.243Z,2025-06-20T18:47:50.583Z
9,the column types make no sense ,2,3,#1aff00,,STANDARD,,2025-06-18T13:13:29.243Z,2025-06-20T18:47:50.584Z
10,col 1,4,1,#b0edbf,,STANDARD,this is a description of column1,2025-06-18T13:16:01.419Z,2025-06-21T16:14:50.637Z
11,col 2,4,2,#a184d5,,STANDARD,this is a description of column 2,2025-06-18T13:16:01.419Z,2025-06-21T16:14:50.639Z
12,col 3 ,4,3,#3ea8a3,,STANDARD,this is a description of column 3,2025-06-18T13:16:01.419Z,2025-06-21T16:14:50.639Z
13,col 4,4,4,#bd8760,,STANDARD,this is a description of column 4,2025-06-18T13:16:01.419Z,2025-06-21T16:14:50.640Z
19,this needs fixing,5,5,#c18daa,,STANDARD,,2025-06-18T13:20:46.001Z,2025-06-18T13:20:46.001Z
20,this needs fixing,5,7,#b2aae9,,STANDARD,,2025-06-18T13:20:46.001Z,2025-06-18T13:20:46.001Z
21,this needs fixing,5,8,#c1fca3,,STANDARD,,2025-06-18T13:20:46.002Z,2025-06-18T13:20:46.002Z
22,col 1,6,1,#c9ace9,start,STANDARD,,2025-06-21T08:03:54.429Z,2025-06-21T11:54:45.768Z
23,col 2,6,3,#7250d1,end,STANDARD,,2025-06-21T08:03:54.429Z,2025-06-21T11:54:45.769Z
24,col 3,6,2,#32017a,,STANDARD,,2025-06-21T11:54:45.767Z,2025-06-21T11:54:45.767Z
25,Column1,9,1,00ffd9,start,STANDARD,This is a description,2025-06-22T06:42:01.036Z,2025-06-25T16:03:05.820Z
26,Column2,9,2,ff00ea,end,STANDARD,yet another description,2025-06-22T06:42:01.036Z,2025-06-25T16:03:05.822Z
27,Column3,9,3,#93a1ab,,STANDARD,what is the purpose of column type?,2025-06-25T16:03:05.817Z,2025-06-25T16:03:05.817Z
50,Backlog,10,1,#6b7280,start,STANDARD,Tasks ready to be picked up,2026-04-11T13:07:04.941Z,2026-04-11T13:07:04.941Z
51,Ready,10,2,#3b82f6,,STANDARD,Tasks refined and ready for work,2026-04-11T13:07:04.941Z,2026-04-11T13:07:04.941Z
52,In Progress,10,3,#f59e0b,,STANDARD,Tasks currently being worked on,2026-04-11T13:07:04.941Z,2026-04-11T13:07:04.941Z
53,Review,10,4,#8b5cf6,,STANDARD,Tasks awaiting review,2026-04-11T13:07:04.941Z,2026-04-11T13:07:04.941Z
54,Agent Review,10,5,#ec4899,AGENT_REVIEW,AGENT_REVIEW,Tasks for agent validation,2026-04-11T13:07:04.941Z,2026-04-11T13:07:04.941Z
55,Done,10,6,#22c55e,end,STANDARD,Completed tasks,2026-04-11T13:07:04.941Z,2026-04-11T13:07:04.941Z
